players,strategies,0.99 error,0.999 error,0.9999 error,0.99999 error
3,10,2.469198655931445e-16,3.4523120442747845e-16,4.261971053999831e-16,4.550395723444481e-16
22,4,5.4689552886244424e-15,6.174508081060327e-15,6.730213808355756e-15,6.894867357184031e-15
155,2,2.5678684427209335e-14,3.553374709927346e-14,3.692178409533883e-14,3.754640074356824e-14
22,3,5.482700788089295e-15,6.150239813899193e-15,6.8690990129263715e-15,7.148655368103607e-15
8,7,1.5113060782606783e-15,1.8057163532465247e-15,2.119753979898094e-15,2.4337916065496638e-15
39,4,1.6620735077570734e-14,1.9294145083813408e-14,2.2288778772976712e-14,2.2506381913019722e-14
37,3,3.4619752187548943e-15,4.6535812570214615e-15,5.674197993713673e-15,6.001515138365609e-15
30,4,3.1439640721301903e-15,3.8482120242873524e-15,4.577611689021557e-15,5.2315562160246365e-15
7,5,9.043733666529124e-16,1.2290202162206246e-15,1.4840998837381127e-15,1.5861113950217144e-15
21,2,1.569364309255154e-15,2.071560888216803e-15,2.336186850962155e-15,2.418797688750158e-15
107,2,7.09442634225467e-14,7.691971908635563e-14,7.886079067141458e-14,8.004065771331315e-14
187,2,3.48600815274195e-14,5.944053083952496e-14,6.506901216703941e-14,6.543403919874014e-14
133,2,3.3556376590341433e-14,5.359246552535112e-14,5.717615622917399e-14,5.733905126116594e-14
10,8,1.2339002636937449e-15,1.4463056733651428e-15,1.622592879623068e-15,1.7578089529249904e-15
179,2,4.198540329487901e-14,6.696413255443675e-14,7.256433581076865e-14,7.304094885386072e-14
118,3,6.155581484557667e-14,7.170175486156031e-14,8.51068655530694e-14,8.754415840607106e-14
149,2,7.953004001607665e-14,1.0364377456899385e-13,1.1354965143932368e-13,1.137760714820741e-13
132,3,6.678997299367627e-14,7.440632758295256e-14,8.124536940470169e-14,8.264907254008229e-14
165,2,3.621610170634112e-14,4.299410647454504e-14,4.5731138842353224e-14,4.7432929964295703e-14
197,3,3.223447734924194e-14,4.2420780731088275e-14,5.474432996147808e-14,5.6132898888845944e-14
141,3,2.7663428446148357e-14,3.4308505967074995e-14,4.00518113065258e-14,4.250384341526346e-14
164,3,3.749591779874063e-14,4.43209747499391e-14,5.22692368152822e-14,5.4955294818289754e-14
148,3,1.43845491683533e-14,2.0974292830716793e-14,2.5550266637323788e-14,2.68833240270972e-14
69,4,5.920754248475168e-15,8.49119825271584e-15,1.0527463302565042e-14,1.1189189567297702e-14
188,3,1.9425501228032022e-14,2.882943618149983e-14,3.685864335575307e-14,4.220031771137071e-14
86,4,2.067793045987922e-14,2.3274693819957072e-14,2.5035924524824694e-14,2.623211875782352e-14
101,4,3.093129655546566e-14,3.9427837336607775e-14,4.480436060978156e-14,4.609472619534327e-14
48,5,1.0874298704586733e-14,1.3057800513367575e-14,1.5333983004782417e-14,1.7594370937758312e-14
5,4,4.608587935548709e-16,6.96310043446826e-16,8.644477046015659e-16,9.725036676767617e-16
14,3,2.596951333010778e-15,3.1584543239320274e-15,3.58772153099757e-15,3.691071533948118e-15
12,2,1.2133451495688814e-15,1.7751508986094432e-15,2.082388554138001e-15,2.082388554138001e-15
7,6,7.822354903898869e-16,9.995231266092999e-16,1.1733532355848303e-15,1.2419088255173576e-15
4,10,4.4149563710215094e-16,5.948767717871789e-16,7.568496636036873e-16,8.199204689039946e-16
43,2,5.08353673727782e-15,6.483063495981043e-15,7.0031741487283765e-15,7.165949376644637e-15
67,2,9.706814383572437e-15,1.6985296940570536e-14,1.7969001396588134e-14,1.8100161990723815e-14
54,3,7.339425001429971e-15,9.515237062881588e-15,1.0523514086676782e-14,1.1881971154664317e-14
77,2,1.1341751546421434e-14,1.6353223159956488e-14,1.7097304672023048e-14,1.7144508151567285e-14
77,3,1.219608025151171e-14,1.6556076411131692e-14,2.1595910825213703e-14,2.3693426738613895e-14
150,2,1.6780461641795587e-14,2.2355178764405532e-14,2.4157107531309758e-14,2.4213417805275515e-14
156,2,3.027601102339993e-14,3.883916020863121e-14,4.258113909916378e-14,4.335534162823949e-14
11,8,2.3312710707458687e-15,2.7832584422967086e-15,3.436719120053327e-15,3.787651706255955e-15
108,3,3.079646445216638e-14,4.491854117830384e-14,5.901366961701298e-14,6.786305142878808e-14
133,3,1.9330640516905497e-14,2.7327434051519887e-14,4.053174586463904e-14,4.148662718216205e-14
119,3,5.206954837744897e-14,6.685150819842589e-14,8.194701004968335e-14,8.656550018364667e-14
16,7,2.444916408009468e-15,3.1683052078877473e-15,3.832571666609436e-15,4.1283976951264586e-15
189,3,4.17691789487661e-14,5.512420806310229e-14,7.521140783260182e-14,7.952681647873471e-14
110,4,5.855375904736621e-14,7.403037436526463e-14,8.981178079445645e-14,9.380793092030331e-14
23,3,2.898715301616573e-15,3.990439246381256e-15,4.9221691647580124e-15,5.044517537878192e-15
5,10,5.066187422343489e-16,6.625397627470148e-16,7.950477152964177e-16,8.613016915711192e-16
44,2,1.1728179442668602e-14,1.3663898379808079e-14,1.4802556578125418e-14,1.5258019857452354e-14
38,3,3.4794563876903717e-15,5.513421854382252e-15,6.878130234179839e-15,7.20566024533126e-15
2,9,1.9439444623453268e-16,2.591925949793769e-16,3.110311139752523e-16,3.2399074372422114e-16
9,7,5.696318299490107e-16,8.41170556540275e-16,1.111404952662367e-15,1.1995458367188641e-15
78,3,1.4644088893414056e-14,1.828512927562973e-14,2.2936785789155314e-14,2.4875813234318245e-14
40,4,3.4786548604737943e-15,5.793176240981238e-15,7.901792279393442e-15,8.718288529984116e-15
123,2,3.4177916776890934e-14,4.3611416927738e-14,4.551293397385115e-14,4.5636409106715644e-14
157,2,7.438324877449754e-14,9.323819305575705e-14,9.748302344368458e-14,9.777917440098185e-14
109,3,3.173292248213249e-14,3.836937502046308e-14,4.23095700664936e-14,4.307178475727348e-14
53,4,9.716605559002707e-15,1.261587362433459e-14,1.603537972620692e-14,1.9836279666009963e-14
198,3,1.934616058822485e-14,2.7379117999010002e-14,3.4589327769674863e-14,3.577186889000563e-14
119,4,5.634773903195717e-14,6.516484145301542e-14,7.351896202367967e-14,8.616508426970117e-14
87,4,1.807793558467728e-14,2.568032638208748e-14,2.918218907055395e-14,3.13708532508455e-14
79,4,1.5285697889524667e-14,1.7722408545533472e-14,1.9490337378542895e-14,2.005738376083794e-14
39,5,1.2767837987275576e-14,1.82687959626961e-14,2.071818154879671e-14,2.1693502506158038e-14
55,5,1.6059843170663367e-14,2.2699427790791074e-14,2.5013561044573028e-14,2.6838946980176638e-14
78,5,1.3967823777720192e-14,1.692610980185457e-14,1.9874430109256124e-14,2.1063181069062095e-14
49,5,8.651496303364315e-15,1.0275078739847279e-14,1.1380861480622409e-14,1.197197270710903e-14
24,7,1.5157958902152374e-15,2.0494581383494662e-15,2.5978242724523454e-15,3.0196931713975982e-15
142,4,5.935236865706775e-14,7.59944347865413e-14,8.477052434700586e-14,8.763087946300912e-14
93,5,3.452969827645708e-14,4.2447036545133066e-14,5.04694366354445e-14,5.692214999522736e-14
18,10,2.927440632560252e-15,3.3204447481785836e-15,3.6340642335230715e-15,3.839301021768871e-15
165,4,1.6050075375220933e-14,2.422532239203647e-14,3.1217119705979127e-14,3.214652607200653e-14
173,4,8.863636152849684e-14,9.851786182948855e-14,1.0416056650966306e-13,1.0804187358199403e-13
71,5,7.440537445117259e-15,9.962225867939425e-15,1.2483914290761593e-14,1.4178893036704205e-14
32,7,4.88483017114587e-15,5.751082926485109e-15,6.686735906937435e-15,7.160662075133421e-15
54,6,6.113745830588699e-15,8.272833271061987e-15,1.011119502751208e-14,1.1380973007711271e-14
25,8,5.9753594548572125e-15,7.574250932370564e-15,8.768934354385132e-15,9.13945270738732e-15
24,3,3.3808249231623796e-15,4.2260311539529745e-15,4.8531196477653514e-15,4.894016723448768e-15
60,2,5.295978830132795e-14,5.856433189088584e-14,5.95718902890086e-14,5.98237798885393e-14
29,3,4.9658660511955174e-15,6.085620160778821e-15,7.132346828432777e-15,8.179073496086735e-15
68,2,3.9575696521767836e-14,4.616226336820715e-14,4.789334824451492e-14,4.800593913077884e-14
22,2,6.2002259151320404e-15,7.060655147049054e-15,7.462218800512899e-15,7.462218800512899e-15
108,2,5.129164806389714e-14,7.172682721860798e-14,7.370932641350254e-14,7.406800926709622e-14
45,2,1.1929640597777387e-14,1.3311322135938044e-14,1.395161358045152e-14,1.3968463355307137e-14
13,4,2.0346346207646575e-15,2.5833283149887777e-15,3.2965171136053116e-15,3.470852153267131e-15
166,2,5.3548695329340496e-14,5.832036124977678e-14,6.017600910772421e-14,6.044110165885957e-14
6,10,3.557142900358179e-16,5.206183353412191e-16,6.561217376903035e-16,7.987568980577607e-16
79,3,2.1282352317202063e-14,2.5667604881257783e-14,2.867622119735677e-14,2.91175219300687e-14
70,3,2.8848699488124534e-14,3.217110353399686e-14,3.6274490333597834e-14,3.647021600086545e-14
188,2,2.2031391066732515e-14,3.005912727614727e-14,3.180317220343227e-14,3.230330273405076e-14
10,7,9.475593533678267e-16,1.3964032575946919e-15,1.7328699191136522e-15,1.9138205360784394e-15
101,5,3.000060781477761e-14,3.8689654007337564e-14,4.56135400699861e-14,4.672733793073182e-14
110,3,7.797612574127296e-14,9.356615356989925e-14,9.778158981730637e-14,1.0847171572576365e-13
134,3,2.3923456534679638e-14,3.2141205278131163e-14,3.662065548328004e-14,3.69207795287702e-14
149,3,4.271211322991294e-14,5.2174344117248996e-14,6.154408167978989e-14,6.442050567315351e-14
54,4,6.5328376631640425e-15,8.027521535002533e-15,8.842819793579561e-15,9.283126173342858e-15
180,3,5.461052959268944e-14,6.638858775956937e-14,7.782442680961714e-14,7.931715801305257e-14
199,3,3.48011603857676e-14,4.3751589507460053e-14,4.8868069569403144e-14,5.0587206870216023e-14
80,4,5.3807156304436166e-14,5.701936868814381e-14,5.854750856000473e-14,5.95454774559139e-14
4,3,5.153713648110487e-16,8.389766403900792e-16,1.0442191190285292e-15,1.0442191190285292e-15
4,2,8.552307208541968e-16,1.20067631933127e-15,1.20067631933127e-15,1.20067631933127e-15
13,2,3.5961325954785426e-15,5.063941818122846e-15,6.018017812841643e-15,6.091408273973858e-15
6,4,4.815549528537786e-16,7.065056227544688e-16,1.0011294186823032e-15,1.0233767390974655e-15
8,5,1.2695458062786592e-15,1.6927986893834112e-15,2.160455144018069e-15,2.4722734122268624e-15
14,4,2.461112617913053e-15,2.9669196981734724e-15,3.3092565864242575e-15,3.3092565864242575e-15
40,5,2.3097082476756428e-15,3.29256282115464e-15,3.985553748167687e-15,4.395283572745674e-15
17,5,3.210959327035479e-15,3.983215367714898e-15,4.487967988484903e-15,4.616656599597995e-15
55,3,1.5011804312898545e-14,2.0224236365988318e-14,2.4168847093786915e-14,2.4592861955081422e-14
158,2,8.074841393512367e-14,9.024822733925587e-14,9.262318069028892e-14,9.341483180729994e-14
180,2,6.649411736190313e-14,8.687673625173273e-14,9.021814918449169e-14,9.155471435759526e-14
111,3,2.5162169439432217e-14,2.904522027885077e-14,3.153037281607864e-14,3.194028228934318e-14
55,4,1.352023253234537e-14,1.6788826157257443e-14,1.9711772869528163e-14,2.1092550283926852e-14
157,3,5.586585428672555e-14,6.368495693685741e-14,6.944540530300531e-14,7.117372961387917e-14
165,3,2.1061841646120996e-14,2.7012908882069245e-14,3.365093938330742e-14,3.7105041337502225e-14
93,4,3.1993129634599145e-14,3.5120949570942636e-14,4.1904880301734325e-14,4.6002589999136393e-14
50,5,1.5728700426777685e-14,1.8527906028952775e-14,2.1326171962287047e-14,2.1854009039248734e-14
31,6,5.935162065318536e-15,6.79598709769298e-15,7.396378618191889e-15,7.644316169966868e-15
174,14,NaN,NaN,NaN,NaN
167,7,NaN,NaN,NaN,NaN
141,13,NaN,NaN,NaN,NaN
79,15,NaN,NaN,NaN,NaN
261,5,NaN,NaN,NaN,NaN
239,15,NaN,NaN,NaN,NaN
258,2,1.0933888139137799e-13,1.3829273151592407e-13,1.4807100546149447e-13,1.481345007468553e-13
226,2,5.3081375701203304e-14,7.567711498917608e-14,8.474800205979649e-14,8.500717026181421e-14
290,2,1.120044509186102e-13,1.192377745635268e-13,1.2119382828158876e-13,1.2141795943678337e-13
322,2,2.1460159377582925e-13,2.365331797682015e-13,2.4944616965156085e-13,2.4959989572160085e-13
354,2,5.069075993609025e-14,9.23190357528435e-14,1.1432948977055028e-13,1.1448303461311078e-13
386,2,5.441829628993532e-14,7.080669140020608e-14,7.96405396555101e-14,8.093164055436223e-14
418,2,1.3039427802268982e-13,1.6006263903347036e-13,1.715218472545655e-13,1.7581250969351436e-13
450,2,2.3350746711004147e-13,2.6589253720371686e-13,2.9492798294160685e-13,2.9605526036903466e-13
482,2,1.0868588366608846e-13,1.4888915373157166e-13,1.627303554105296e-13,1.676248929382761e-13
259,3,5.784695762578964e-14,7.154676654698e-14,8.406633020669377e-14,9.473335700029238e-14
227,3,8.85552827035423e-14,9.917917497834807e-14,1.0126968281306792e-13,1.0222926017982457e-13
291,3,2.7352238358630552e-14,3.8538471154940136e-14,4.700814429614727e-14,4.786641712760347e-14
323,3,3.760423401420445e-14,5.161089965470154e-14,6.808109862487201e-14,7.151036877782853e-14
355,3,4.716015907630274e-14,6.239041816474275e-14,7.106048037471915e-14,8.5833296476899e-14
387,3,3.809275948031246e-14,4.9200136004381e-14,6.098569763625944e-14,6.482124268620564e-14
