players,actions,batch_size,min,max,mean,median,std,trials
55,5,10,NaN,NaN,NaN,NaN,NaN,0.0
53,6,1,NaN,NaN,NaN,NaN,NaN,0.0
10,3,10,1.03818953e8,1.747836042e9,8.120528074285715e8,7.11762792e8,6.535960612633595e8,7.0
7,4,1,8.24098067e8,3.036496331e9,2.108826375e9,2.465884727e9,1.148605467376536e9,3.0
6,5,10,1.787685305e9,3.955792733e9,2.871739019e9,2.871739019e9,1.5330834646797242e9,2.0
25,3,100,3.489914567e9,4.020419705e9,3.755167136e9,3.755167136e9,3.751237805341052e8,2.0
6,6,1,3.738353193e9,4.826999699e9,4.282676446e9,4.282676446e9,7.697893267076415e8,2.0
28,4,1,7.7250856646e10,7.7250856646e10,7.7250856646e10,7.7250856646e10,NaN,1.0
41,3,10,9.744731758e9,9.744731758e9,9.744731758e9,9.744731758e9,NaN,1.0
8,3,1,4.0509992e7,3.93522582e8,1.1382689059574468e8,5.4871478e7,1.296504119049192e8,47.0
66,4,100,NaN,NaN,NaN,NaN,NaN,0.0
127,6,10,NaN,NaN,NaN,NaN,NaN,0.0
95,5,10,NaN,NaN,NaN,NaN,NaN,0.0
65,3,1,NaN,NaN,NaN,NaN,NaN,0.0
122,6,100,NaN,NaN,NaN,NaN,NaN,0.0
107,5,10,NaN,NaN,NaN,NaN,NaN,0.0
87,6,10,NaN,NaN,NaN,NaN,NaN,0.0
86,4,100,NaN,NaN,NaN,NaN,NaN,0.0
14,6,1,1.71994045735e11,1.71994045735e11,1.71994045735e11,1.71994045735e11,NaN,1.0
3,6,100,8.0114223e7,5.16590081e8,3.263640600625e8,4.4850068e8,1.9541329973312825e8,16.0
16,4,10,1.52134488e10,1.52134488e10,1.52134488e10,1.52134488e10,NaN,1.0
8,6,10,1.6550994855e10,1.6550994855e10,1.6550994855e10,1.6550994855e10,NaN,1.0
17,4,1,1.3737617755e10,1.3737617755e10,1.3737617755e10,1.3737617755e10,NaN,1.0
18,4,100,1.4025280029e10,1.4025280029e10,1.4025280029e10,1.4025280029e10,NaN,1.0
12,5,1,1.2985424649e10,1.2985424649e10,1.2985424649e10,1.2985424649e10,NaN,1.0
13,6,100,1.37231231612e11,1.37231231612e11,1.37231231612e11,1.37231231612e11,NaN,1.0
18,3,1,3.68517595e8,7.8848995e8,7.157016644285715e8,7.71743835e8,1.533029014086949e8,7.0
88,6,10,NaN,NaN,NaN,NaN,NaN,0.0
104,6,1,NaN,NaN,NaN,NaN,NaN,0.0
75,5,10,NaN,NaN,NaN,NaN,NaN,0.0
61,5,1,NaN,NaN,NaN,NaN,NaN,0.0
46,4,100,NaN,NaN,NaN,NaN,NaN,0.0
58,6,10,NaN,NaN,NaN,NaN,NaN,0.0
117,4,100,NaN,NaN,NaN,NaN,NaN,0.0
100,5,1,NaN,NaN,NaN,NaN,NaN,0.0
47,3,1,NaN,NaN,NaN,NaN,NaN,0.0
95,4,100,NaN,NaN,NaN,NaN,NaN,0.0
65,5,10,NaN,NaN,NaN,NaN,NaN,0.0
113,6,1,NaN,NaN,NaN,NaN,NaN,0.0
19,3,1,2.897499716e9,3.480596249e9,3.1890479825e9,3.1890479825e9,4.123115125706655e8,2.0
4,6,100,9.96952863e8,1.061463232e9,1.0293641618e9,1.027087596e9,2.5130018819707252e7,5.0
23,4,10,6.2142851651e10,6.2142851651e10,6.2142851651e10,6.2142851651e10,NaN,1.0
17,4,10,2.0727609835e10,2.0727609835e10,2.0727609835e10,2.0727609835e10,NaN,1.0
19,5,100,1.95068602946e11,1.95068602946e11,1.95068602946e11,1.95068602946e11,NaN,1.0
28,4,100,7.2283282021e10,7.2283282021e10,7.2283282021e10,7.2283282021e10,NaN,1.0
41,6,100,NaN,NaN,NaN,NaN,NaN,0.0
70,3,10,NaN,NaN,NaN,NaN,NaN,0.0
102,6,100,NaN,NaN,NaN,NaN,NaN,0.0
52,5,1,NaN,NaN,NaN,NaN,NaN,0.0
81,6,100,NaN,NaN,NaN,NaN,NaN,0.0
123,6,1,NaN,NaN,NaN,NaN,NaN,0.0
108,5,100,NaN,NaN,NaN,NaN,NaN,0.0
118,6,10,NaN,NaN,NaN,NaN,NaN,0.0
9,3,1,7.203416535e9,7.203416535e9,7.203416535e9,7.203416535e9,NaN,1.0
8,4,1,7.888415673e9,7.888415673e9,7.888415673e9,7.888415673e9,NaN,1.0
119,6,10,NaN,NaN,NaN,NaN,NaN,0.0
5,6,100,9.178750503e9,9.178750503e9,9.178750503e9,9.178750503e9,NaN,1.0
33,6,100,NaN,NaN,NaN,NaN,NaN,0.0
89,5,100,NaN,NaN,NaN,NaN,NaN,0.0
49,4,1,NaN,NaN,NaN,NaN,NaN,0.0
109,5,100,NaN,NaN,NaN,NaN,NaN,0.0
58,4,1,NaN,NaN,NaN,NaN,NaN,0.0
60,3,10,NaN,NaN,NaN,NaN,NaN,0.0
66,3,100,NaN,NaN,NaN,NaN,NaN,0.0
48,3,1,NaN,NaN,NaN,NaN,NaN,0.0
123,6,100,NaN,NaN,NaN,NaN,NaN,0.0
38,3,100,3.075443218e10,3.075443218e10,3.075443218e10,3.075443218e10,NaN,1.0
29,3,10,1.3028252404e10,1.3028252404e10,1.3028252404e10,1.3028252404e10,NaN,1.0
117,5,10,NaN,NaN,NaN,NaN,NaN,0.0
59,6,10,NaN,NaN,NaN,NaN,NaN,0.0
103,6,100,NaN,NaN,NaN,NaN,NaN,0.0
42,6,100,NaN,NaN,NaN,NaN,NaN,0.0
107,6,10,NaN,NaN,NaN,NaN,NaN,0.0
22,6,100,NaN,NaN,NaN,NaN,NaN,0.0
71,6,100,NaN,NaN,NaN,NaN,NaN,0.0
6,4,100,1.22667492e8,3.584038484e9,7.401347165e8,1.35336129e8,1.2948757688594768e9,10.0
72,6,100,NaN,NaN,NaN,NaN,NaN,0.0
35,5,10,NaN,NaN,NaN,NaN,NaN,0.0
89,4,1,NaN,NaN,NaN,NaN,NaN,0.0
66,5,10,NaN,NaN,NaN,NaN,NaN,0.0
9,6,10,5.6055751579e10,5.6055751579e10,5.6055751579e10,5.6055751579e10,NaN,1.0
18,4,1,2.3177706516e10,2.3177706516e10,2.3177706516e10,2.3177706516e10,NaN,1.0
13,5,1,3.741761915e10,3.741761915e10,3.741761915e10,3.741761915e10,NaN,1.0
24,4,10,6.3217938636e10,6.3217938636e10,6.3217938636e10,6.3217938636e10,NaN,1.0
120,5,1,NaN,NaN,NaN,NaN,NaN,0.0
20,3,10,5.40554216e8,3.613919119e9,1.9570925336666667e9,1.716804266e9,1.5507084817694576e9,3.0
96,5,10,NaN,NaN,NaN,NaN,NaN,0.0
70,5,100,NaN,NaN,NaN,NaN,NaN,0.0
21,3,10,2.086078191e9,2.897869985e9,2.6255822106666665e9,2.892798456e9,4.67231067598215e8,3.0
60,5,100,NaN,NaN,NaN,NaN,NaN,0.0
38,6,10,NaN,NaN,NaN,NaN,NaN,0.0
17,6,10,8.74228678254e11,8.74228678254e11,8.74228678254e11,8.74228678254e11,NaN,1.0
7,6,1,1.5158962911e10,1.5158962911e10,1.5158962911e10,1.5158962911e10,NaN,1.0
36,4,100,3.28970413207e11,3.28970413207e11,3.28970413207e11,3.28970413207e11,NaN,1.0
17,5,10,1.18030931447e11,1.18030931447e11,1.18030931447e11,1.18030931447e11,NaN,1.0
33,4,10,1.93573988847e11,1.93573988847e11,1.93573988847e11,1.93573988847e11,NaN,1.0
21,5,1,2.97182303817e11,2.97182303817e11,2.97182303817e11,2.97182303817e11,NaN,1.0
15,6,1,1.45578067857e11,1.45578067857e11,1.45578067857e11,1.45578067857e11,NaN,1.0
24,5,10,3.23164022021e11,3.23164022021e11,3.23164022021e11,3.23164022021e11,NaN,1.0
20,5,100,5.9437461745e10,5.9437461745e10,5.9437461745e10,5.9437461745e10,NaN,1.0
61,3,10,NaN,NaN,NaN,NaN,NaN,0.0
105,6,1,NaN,NaN,NaN,NaN,NaN,0.0
114,6,1,NaN,NaN,NaN,NaN,NaN,0.0
54,6,100,NaN,NaN,NaN,NaN,NaN,0.0
73,6,1,NaN,NaN,NaN,NaN,NaN,0.0
124,5,10,NaN,NaN,NaN,NaN,NaN,0.0
104,6,100,NaN,NaN,NaN,NaN,NaN,0.0
57,4,100,NaN,NaN,NaN,NaN,NaN,0.0
108,6,10,NaN,NaN,NaN,NaN,NaN,0.0
87,4,100,NaN,NaN,NaN,NaN,NaN,0.0
82,6,100,NaN,NaN,NaN,NaN,NaN,0.0
67,6,10,NaN,NaN,NaN,NaN,NaN,0.0
56,5,10,NaN,NaN,NaN,NaN,NaN,0.0
45,5,10,NaN,NaN,NaN,NaN,NaN,0.0
34,6,1,NaN,NaN,NaN,NaN,NaN,0.0
44,4,10,NaN,NaN,NaN,NaN,NaN,0.0
112,6,100,NaN,NaN,NaN,NaN,NaN,0.0
7,4,100,7.26846391e8,3.94691007e9,1.806508661e9,7.45769522e8,1.853666141719862e9,3.0
7,5,10,5.312650367e9,5.312650367e9,5.312650367e9,5.312650367e9,NaN,1.0
22,3,10,6.79831673e9,6.79831673e9,6.79831673e9,6.79831673e9,NaN,1.0
9,4,1,1.467684163e9,2.628014614e9,1.9569430526666667e9,1.775130381e9,6.011518731264124e8,3.0
30,3,10,4.01592914e9,6.343889134e9,5.179909137e9,5.179909137e9,1.6461162980883944e9,2.0
120,5,100,NaN,NaN,NaN,NaN,NaN,0.0
47,4,100,NaN,NaN,NaN,NaN,NaN,0.0
90,4,1,NaN,NaN,NaN,NaN,NaN,0.0
82,4,10,NaN,NaN,NaN,NaN,NaN,0.0
93,6,1,NaN,NaN,NaN,NaN,NaN,0.0
73,6,100,NaN,NaN,NaN,NaN,NaN,0.0
67,3,100,NaN,NaN,NaN,NaN,NaN,0.0
20,3,1,2.10593328e9,6.337215818e9,4.221574549e9,4.221574549e9,2.9919685757360253e9,2.0
26,3,1,6.135078124e9,6.135078124e9,6.135078124e9,6.135078124e9,NaN,1.0
39,6,10,NaN,NaN,NaN,NaN,NaN,0.0
101,5,1,NaN,NaN,NaN,NaN,NaN,0.0
36,5,10,NaN,NaN,NaN,NaN,NaN,0.0
74,6,100,NaN,NaN,NaN,NaN,NaN,0.0
58,4,100,NaN,NaN,NaN,NaN,NaN,0.0
37,4,100,NaN,NaN,NaN,NaN,NaN,0.0
98,5,100,NaN,NaN,NaN,NaN,NaN,0.0
44,3,100,2.0711645344e10,2.0711645344e10,2.0711645344e10,2.0711645344e10,NaN,1.0
19,4,1,2.6725636875e10,2.6725636875e10,2.6725636875e10,2.6725636875e10,NaN,1.0
42,3,10,1.5563918024e10,1.5563918024e10,1.5563918024e10,1.5563918024e10,NaN,1.0
19,4,100,2.7347903738e10,2.7347903738e10,2.7347903738e10,2.7347903738e10,NaN,1.0
10,6,10,3.178108116e10,3.178108116e10,3.178108116e10,3.178108116e10,NaN,1.0
25,4,10,4.2718278332e10,4.2718278332e10,4.2718278332e10,4.2718278332e10,NaN,1.0
29,4,1,6.6357367349e10,6.6357367349e10,6.6357367349e10,6.6357367349e10,NaN,1.0
73,4,10,NaN,NaN,NaN,NaN,NaN,0.0
59,4,1,NaN,NaN,NaN,NaN,NaN,0.0
54,3,100,NaN,NaN,NaN,NaN,NaN,0.0
106,4,100,NaN,NaN,NaN,NaN,NaN,0.0
59,4,100,NaN,NaN,NaN,NaN,NaN,0.0
70,5,1,NaN,NaN,NaN,NaN,NaN,0.0
94,6,1,NaN,NaN,NaN,NaN,NaN,0.0
62,5,1,NaN,NaN,NaN,NaN,NaN,0.0
43,6,1,NaN,NaN,NaN,NaN,NaN,0.0
54,6,1,NaN,NaN,NaN,NaN,NaN,0.0
68,6,10,NaN,NaN,NaN,NaN,NaN,0.0
125,5,10,NaN,NaN,NaN,NaN,NaN,0.0
71,5,100,NaN,NaN,NaN,NaN,NaN,0.0
53,4,10,NaN,NaN,NaN,NaN,NaN,0.0
105,6,100,NaN,NaN,NaN,NaN,NaN,0.0
120,6,10,NaN,NaN,NaN,NaN,NaN,0.0
