players,strategies,max_error
20,7,1.1434371830999358e-13
20,8,6.379224747759727e-14
20,9,1.1149032940282146e-13
20,10,1.0065179387819132e-13
21,2,1.0075830259726745e-13
21,3,1.0050348885757541e-13
21,4,4.907848133052017e-14
21,5,5.707552500273157e-14
21,6,6.237117265730573e-14
21,7,7.584638755830342e-14
21,8,5.0697740679365753e-14
21,9,8.313627195226854e-14
21,10,9.365502506536223e-14
22,2,5.712520970143718e-14
22,3,1.584276534294632e-13
22,4,2.1715163879113132e-13
22,5,2.418768715730375e-13
22,6,7.010198774912364e-13
22,7,2.3633663080606433e-13
22,8,2.1195191482883388e-13
22,9,2.564795572239415e-13
22,10,2.7826998615906235e-13
23,2,1.8377817067502448e-13
23,3,3.387275176857105e-14
23,4,6.281747474382036e-14
23,5,1.6490200054284316e-13
23,6,1.616633146962092e-13
23,7,3.0840431330458445e-13
23,8,2.8805871878096475e-13
23,9,3.254717850378134e-13
23,10,1.9777893962565168e-13
24,2,1.8750083662551857e-14
24,3,3.523435274116287e-14
24,4,4.805660545269084e-13
24,5,1.4740309817462835e-13
24,6,7.089529850271332e-13
24,7,8.707762941785398e-14
24,8,4.568358984931828e-13
24,9,5.571222017010661e-13
24,10,3.218492049482007e-13
25,2,1.1642030631255216e-12
25,3,2.3176606529054835e-13
25,4,4.389116294224375e-13
25,5,6.935487447807003e-13
25,6,5.59663262820281e-13
25,7,3.422516668814863e-13
25,8,6.199990035918992e-13
25,9,5.682066992909783e-13
25,10,NaN
26,2,2.423811806765506e-14
26,3,5.105275313384483e-14
26,4,1.4087962137685558e-13
26,5,1.1384786329110884e-13
26,6,2.5043312649764363e-13
26,7,3.132141412692274e-13
26,8,6.696203198458724e-13
26,9,6.518670095606938e-13
26,10,NaN
27,2,3.599543148361519e-14
27,3,1.3910874280063113e-13
27,4,1.6746525150229411e-13
27,5,7.501837657999652e-14
27,6,9.551308925439317e-14
27,7,2.0302213866132344e-13
27,8,5.768626857992521e-13
27,9,1.256319106142751e-13
27,10,NaN
28,2,8.37343514394238e-12
28,3,1.0633074095983795e-13
28,4,6.541887344834949e-13
28,5,3.279283513857207e-13
28,6,8.137377981283526e-13
28,7,9.894836719237781e-13
28,8,8.715768481846436e-13
28,9,4.425832933996119e-13
28,10,NaN
29,2,1.6026675430217911e-12
29,3,1.8424853888171104e-13
29,4,1.2973542271956725e-13
29,5,8.945524947341558e-14
29,6,7.615715617262405e-13
29,7,3.779130929301581e-13
29,8,4.630012082882204e-13
29,9,7.829097519666603e-13
29,10,NaN
30,2,7.540141197907068e-13
30,3,6.936018405050691e-14
30,4,1.6289843446414297e-13
30,5,5.81316011738627e-13
30,6,3.9450224031000445e-13
30,7,4.3525791465202776e-13
30,8,4.601336644100828e-13
30,9,NaN
30,10,NaN
31,2,2.5086044438000186e-14
31,3,2.6719660214016037e-13
31,4,9.504227443778326e-13
31,5,1.9572158054862653e-12
31,6,5.072130026318372e-13
31,7,4.0614413280073887e-13
31,8,4.631768298623862e-13
31,9,NaN
31,10,NaN
32,2,1.4494048105651442e-11
32,3,9.907278666091868e-13
32,4,2.0205573251421343e-13
32,5,6.205348289606424e-13
32,6,1.1836594789919243e-12
32,7,6.601183693817073e-13
32,8,1.260129770510329e-12
32,9,NaN
32,10,NaN
33,2,7.241309014712891e-14
33,3,3.684692249574331e-13
33,4,1.8601584421859256e-12
33,5,2.048457233133482e-12
33,6,6.307976418219243e-13
33,7,9.341005890953947e-13
33,8,2.1454488406423384e-12
33,9,NaN
33,10,NaN
34,2,2.184570563568758e-13
34,3,7.155654646329904e-13
34,4,5.215249082616555e-13
34,5,1.400909003354084e-12
34,6,1.3235974483915712e-12
34,7,7.707455928653847e-13
34,8,1.509772599250017e-12
34,9,NaN
34,10,NaN
35,2,3.6401536491646255e-13
35,3,4.08145511231322e-13
35,4,8.561212072186659e-13
35,5,1.1203700481513467e-12
35,6,1.3388718038706066e-12
35,7,7.272854512102632e-13
35,8,8.231285354325586e-13
35,9,NaN
35,10,NaN
36,2,1.0733985325005469e-13
36,3,1.9284071219234982e-13
36,4,1.0113795346101763e-12
36,5,2.9213634575212657e-13
36,6,5.490027074294957e-13
36,7,1.4487282730974846e-12
36,8,8.989432257105538e-13
36,9,NaN
36,10,NaN
